name,shop_type,primary_service,is_chain,phone,website,street,city,state,state_code,postal_code,latitude,longitude,time_zone,rating,rating_tier,reviews,photos_count,has_photos,verified,location_link,services,num_services,offers_fitting,fitting_environment,public_fitting,working_hours,open_on_weekends,business_status,outreach_ready,services_source,query,area_service,owner_title,about,enrichment_status
Coombs GOLF Studio,Simulator,Golf Simulator,False,(321) 499-5144,https://www.321golfacademy.com/,3270 Suntree Blvd Suite 112,Melbourne,Florida,FL,32940,28.2291314,-80.67716539999999,America/New_York,5.0,Top Rated,0,9,True,True,"https://www.google.com/maps/place/Coombs+Golf+Studio/@28.2291314,-80.67716539999999,14z/data=!4m8!1m2!2m1!1sCoombs+Golf+Studio!3m4!1s0x88de0513670bfc53:0x3fb33696101bfce!8m2!3d28.2291314!4d-80.67716539999999",,0,False,Indoor,True,"{""Wednesday"": [""9AM-9PM""]}",False,OPERATIONAL,True,crawled,custom club fitting Oregon,False,Coombs Golf Studio,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}}",unknown
Tnt Custom GOLF,Retailer,Golf Retail,False,,https://tntgolf.net/,4387 Ridge Valley Dr,Augusta,Georgia,GA,30909,33.4849357,-82.1312624,America/New_York,0.0,Unrated,0,1,True,False,"https://www.google.com/maps/place/TNT+Custom+Golf/@33.4849357,-82.1312624,14z/data=!4m8!1m2!2m1!1sTNT+Custom+Golf!3m4!1s0x88f9d47426324283:0x389e07dd31f3ad1!8m2!3d33.4849357!4d-82.1312624",,0,False,Indoor,True,"{""Wednesday"": [""11AM-7PM""]}",False,OPERATIONAL,True,crawled,custom club fitting Georgia,False,TNT Custom Golf,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",unknown
A To Z GOLF Coaching & Fitting Center,Clubfitter,Club Fitting,False,(770) 477-2099,https://atozgolfpro.com/,100 Crystal Lake Blvd,Hampton,Georgia,GA,30228,33.457618,-84.24985889999999,America/New_York,4.9,Top Rated,61,97,True,True,"https://www.google.com/maps/place/A+to+Z+GOLF+Coaching+%26+Fitting+Center/@33.457618,-84.24985889999999,14z/data=!4m8!1m2!2m1!1sA+to+Z+GOLF+Coaching+%26+Fitting+Center!3m4!1s0x88f4fa1e53672a0b:0x1f78285f38e692a2!8m2!3d33.457618!4d-84.24985889999999",,0,True,Indoor,True,"{""Monday"": [""Closed""], ""Tuesday"": [""10AM-5PM""], ""Wednesday"": [""10AM-5PM""], ""Thursday"": [""Closed""], ""Friday"": [""10AM-5PM""], ""Saturday"": [""10AM-5PM""], ""Sunday"": [""Closed""]}",True,OPERATIONAL,True,crawled,independent clubmaker Georgia,False,A to Z GOLF Coaching & Fitting Center,"{""From the business"": {""Small business"": true}, ""Service options"": {""Onsite services"": true, ""Delivery"": false}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",unknown
Ohana GOLF Shop Hawaii,Retailer,Golf Retail,False,(808) 200-7050,https://www.instagram.com/ohanagolfhawaii,333 Seaside Ave #110,Honolulu,Hawaii,HI,96815,21.279377,-157.8277639,Pacific/Honolulu,4.1,Well Reviewed,0,348,True,True,"https://www.google.com/maps/place/OHANA+GOLF+SHOP+HAWAII/@21.279377,-157.82776389999998,14z/data=!4m8!1m2!2m1!1sOHANA+GOLF+SHOP+HAWAII!3m4!1s0x7c006df4b61d85fd:0xde32437f5c47cef9!8m2!3d21.279377!4d-157.82776389999998",,0,False,Indoor,True,"{""Wednesday"": [""10AM-8:30PM""]}",False,OPERATIONAL,True,crawled,independent clubmaker Hawaii,False,OHANA GOLF SHOP HAWAII,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}}",unknown
Roger Dunn GOLF Hawaii,Retailer,Golf Retail,False,(808) 942-7741,https://www.rdgolfhi.com/ala-moana,1555 Kapiolani Blvd Ste 1505,Honolulu,Hawaii,HI,96814,21.2920981,-157.8407225,Pacific/Honolulu,4.2,Well Reviewed,0,179,True,True,"https://www.google.com/maps/place/Roger+Dunn+Golf+Hawaii/@21.2920981,-157.8407225,14z/data=!4m8!1m2!2m1!1sRoger+Dunn+Golf+Hawaii!3m4!1s0x7c006dee28412bdd:0x3f17e702e4d116fd!8m2!3d21.2920981!4d-157.8407225",,0,False,Indoor,True,"{""Wednesday"": [""9AM-8PM""]}",False,OPERATIONAL,True,crawled,independent clubmaker Hawaii,False,Roger Dunn Golf Hawaii,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",failed
Royal Hawaiian GOLF Shop,Retailer,Golf Retail,False,(808) 924-0144,https://www.instagram.com/royalhawaiian_golf/,2201 Kalākaua Ave Suite A-302,Honolulu,Hawaii,HI,96815,21.2794591,-157.8300273,Pacific/Honolulu,4.8,Top Rated,0,83,True,True,"https://www.google.com/maps/place/ROYAL+HAWAIIAN+GOLF+SHOP/@21.2794591,-157.83002729999998,14z/data=!4m8!1m2!2m1!1sROYAL+HAWAIIAN+GOLF+SHOP!3m4!1s0x7c00737395da81b5:0x4b1011fa01f79531!8m2!3d21.2794591!4d-157.83002729999998",,0,False,Indoor,True,"{""Wednesday"": [""10AM-9PM""]}",False,OPERATIONAL,True,crawled,independent clubmaker Hawaii,False,ROYAL HAWAIIAN GOLF SHOP,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",failed
Hawk's GOLF Performance Studio,Instruction,Golf Instruction,False,,https://hawksgolfstudio.com/,1479 NE 69th Pl #84,Ankeny,Iowa,IA,50021,41.686,-93.5984564,America/Chicago,0.0,Unrated,0,6,True,True,"https://www.google.com/maps/place/Hawk%27s+Golf+Performance+Studio/@41.686,-93.59845639999999,14z/data=!4m8!1m2!2m1!1sHawk%27s+Golf+Performance+Studio!3m4!1s0x87ee9b88813ba805:0xa7c9ee410b0eae1f!8m2!3d41.686!4d-93.59845639999999",,0,False,Unknown,True,"{""Wednesday"": [""9AM-7PM""]}",False,OPERATIONAL,True,crawled,custom club fitting Iowa,False,Hawk's Golf Performance Studio,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",unknown
Accretion Discs,Retailer,Golf Retail,False,(319) 277-0661,https://www.accretiondiscs.com/,6016 Nordic Dr,Cedar Falls,Iowa,IA,50613,42.4835836,-92.4468563,America/Chicago,4.9,Top Rated,0,29,True,True,"https://www.google.com/maps/place/Accretion+Discs/@42.483583599999996,-92.4468563,14z/data=!4m8!1m2!2m1!1sAccretion+Discs!3m4!1s0x87e555a601978b95:0xd5e4f3ba3363e355!8m2!3d42.483583599999996!4d-92.4468563",,0,False,Indoor,True,"{""Wednesday"": [""8AM-6PM""]}",False,OPERATIONAL,True,crawled,boutique golf shop Iowa,False,Accretion Discs,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible seating"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",unknown
Showcase GOLF,Retailer,Golf Retail,False,(855) 998-4223,https://www.showcasegolf.com/contact/,900 S Floating Green Dr,Coeur D'alene,Idaho,ID,83814,47.66421589999999,-116.7560435,America/Los_Angeles,5.0,Top Rated,0,10,True,False,"https://www.google.com/maps/place/Showcase+Golf/@47.664215899999995,-116.75604349999999,14z/data=!4m8!1m2!2m1!1sShowcase+Golf!3m4!1s0x5361c6443ccc1ddd:0x6e5be545d8968850!8m2!3d47.664215899999995!4d-116.75604349999999",,0,False,Indoor,True,"{""Wednesday"": [""Open 24 hours""]}",False,OPERATIONAL,True,crawled,custom club fitting Idaho,False,Showcase Golf,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",unknown
The GOLF House,Simulator,Golf Simulator,False,(630) 664-1500,https://www.thegolfhouse.org/,4332 Fox Valley Center Dr,Aurora,Illinois,IL,60504,41.7608508,-88.20892339999999,America/Chicago,4.8,Top Rated,0,16,True,True,"https://www.google.com/maps/place/The+Golf+House/@41.7608508,-88.20892339999999,14z/data=!4m8!1m2!2m1!1sThe+Golf+House!3m4!1s0x880ef9a9f76685bd:0x349d56a771fd3edf!8m2!3d41.7608508!4d-88.20892339999999",,0,False,Indoor,True,"{""Wednesday"": [""8AM-8PM""]}",False,OPERATIONAL,True,crawled,custom club fitting Illinois,False,The Golf House,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",failed
Cam GOLF INC,Retailer,Golf Retail,False,(708) 474-9272,https://camgolfinc.com/,2251 198th St,Lynwood,Illinois,IL,60411,41.5346821,-87.5620869,America/Chicago,4.5,Highly Rated,0,1,True,False,"https://www.google.com/maps/place/Cam+Golf+Inc/@41.5346821,-87.5620869,14z/data=!4m8!1m2!2m1!1sCam+Golf+Inc!3m4!1s0x880e1e4b26e7f5ef:0x8c27b5aac8af26a3!8m2!3d41.5346821!4d-87.5620869",,0,False,Indoor,True,"{""Wednesday"": [""10AM-4PM""]}",False,OPERATIONAL,True,crawled,independent clubmaker Illinois,False,Cam Golf Inc,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",unknown
The GOLF House Of Maple Park,Simulator,Golf Simulator,False,(630) 202-4653,https://www.thegolfhouseofmaplepark.com/,80 Kennebec St,Maple Park,Illinois,IL,60151,41.9075089,-88.6004662,America/Chicago,0.0,Unrated,0,10,True,True,"https://www.google.com/maps/place/The+Golf+House+of+Maple+Park/@41.907508899999996,-88.6004662,14z/data=!4m8!1m2!2m1!1sThe+Golf+House+of+Maple+Park!3m4!1s0x880ed9939097c1bb:0x17b64e0a6b72c4e3!8m2!3d41.907508899999996!4d-88.6004662",,0,False,Indoor,True,,False,OPERATIONAL,True,crawled,custom club fitting Illinois,False,The Golf House of Maple Park,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",failed
The GOLF Facility,Simulator,Golf Simulator,False,(708) 694-4014,https://www.thegolffacility.com/,19031 Old Lagrange Rd Suite 200,Mokena,Illinois,IL,60448,41.5446837,-87.84895739999999,America/Chicago,5.0,Top Rated,0,62,True,True,"https://www.google.com/maps/place/The+Golf+Facility/@41.5446837,-87.84895739999999,14z/data=!4m8!1m2!2m1!1sThe+Golf+Facility!3m4!1s0x880e15d7fa49b71f:0xa97db9bdf0866f7d!8m2!3d41.5446837!4d-87.84895739999999",,0,False,Indoor,True,"{""Wednesday"": [""10AM-8PM""]}",False,OPERATIONAL,True,crawled,custom club fitting Illinois,False,The Golf Facility,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}}",unknown
Keegan GOLF Performance Studio,Instruction,Golf Instruction,False,(815) 557-8671,https://keegangolf.com/,539 Bedford Rd,Morris,Illinois,IL,60450,41.3713855,-88.4310082,America/Chicago,5.0,Top Rated,0,4,True,True,"https://www.google.com/maps/place/Keegan+Golf+Performance+Studio/@41.371385499999995,-88.4310082,14z/data=!4m8!1m2!2m1!1sKeegan+Golf+Performance+Studio!3m4!1s0x880e990ac303ff1d:0x26216d5f6e648ad9!8m2!3d41.371385499999995!4d-88.4310082",,0,False,Unknown,True,,False,OPERATIONAL,True,crawl_failed,independent clubmaker Illinois,False,Keegan Golf Performance Studio,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",failed
Club House LLC,Retailer,Golf Retail,False,(765) 476-6187,https://www.clubhouse-llc.com/,2500 Veterans Memorial Pkwy E,Lafayette,Indiana,IN,47905,40.3808374,-86.8153303,America/Indianapolis,5.0,Top Rated,0,1,True,True,"https://www.google.com/maps/place/CLUB+HOUSE+LLC/@40.3808374,-86.8153303,14z/data=!4m8!1m2!2m1!1sCLUB+HOUSE+LLC!3m4!1s0x88131bada9820d07:0x1e6f69eccbdf4a1!8m2!3d40.3808374!4d-86.8153303",,0,False,Indoor,True,"{""Wednesday"": [""6:30-10PM""]}",False,OPERATIONAL,True,crawled,independent clubmaker Indiana,False,CLUB HOUSE LLC,"{""Accessibility"": {""Wheelchair accessible restroom"": false, ""Wheelchair accessible seating"": false}}",unknown
Coach Bear GOLF,Instruction,Golf Instruction,False,(316) 559-7841,https://www.coachbeargolf.com/connect-with-coach-bear,12610 E Zimmerly St,Wichita,Kansas,KS,67207,37.6677681,-97.1912206,America/Chicago,5.0,Top Rated,0,60,True,True,"https://www.google.com/maps/place/Coach+Bear+Golf/@37.667768099999996,-97.1912206,14z/data=!4m8!1m2!2m1!1sCoach+Bear+Golf!3m4!1s0x87bafb10532eb3e7:0x7da7deb17c24fef3!8m2!3d37.667768099999996!4d-97.1912206",,0,False,Unknown,True,"{""Wednesday"": [""8AM-9PM""]}",False,OPERATIONAL,True,crawled,custom club fitting Kansas,False,Coach Bear Golf,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}}",failed
Rolling Hills GOLF Shop,Retailer,Golf Retail,False,(316) 722-1181,https://rollinghillswichita.com/,9612 W Maple St,Wichita,Kansas,KS,67209,37.6800043,-97.4531546,America/Chicago,0.0,Unrated,0,1,True,False,"https://www.google.com/maps/place/Rolling+Hills+Golf+Shop/@37.6800043,-97.45315459999999,14z/data=!4m8!1m2!2m1!1sRolling+Hills+Golf+Shop!3m4!1s0x87badf32822a85c9:0xd157e4f84597e212!8m2!3d37.6800043!4d-97.45315459999999",,0,False,Indoor,True,,False,OPERATIONAL,True,crawled,boutique golf shop Kansas,False,Rolling Hills Golf Shop,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",failed
Disc 'n Dat,Retailer,Golf Retail,False,(859) 817-0007,https://therealdiscndat.com/,155 Lloyd Ave,Florence,Kentucky,KY,41042,39.008388,-84.62475409999999,America/New_York,4.9,Top Rated,0,49,True,True,"https://www.google.com/maps/place/Disc+%27n+Dat/@39.008388,-84.62475409999999,14z/data=!4m8!1m2!2m1!1sDisc+%27n+Dat!3m4!1s0x8841c7951e922e83:0x39eb03adb9ac7cc8!8m2!3d39.008388!4d-84.62475409999999",,0,False,Indoor,True,"{""Wednesday"": [""10AM-5PM""]}",False,OPERATIONAL,True,crawled,boutique golf shop Kentucky,False,Disc 'n Dat,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",failed
Ben Fulkerson GOLF,Instruction,Golf Instruction,False,(502) 807-6187,https://www.fulkersongolf.com/,5000 Bardstown Rd,Louisville,Kentucky,KY,40291,38.1727664,-85.6184336,America/New_York,0.0,Unrated,0,1,True,False,"https://www.google.com/maps/place/Ben+Fulkerson+Golf/@38.1727664,-85.6184336,14z/data=!4m8!1m2!2m1!1sBen+Fulkerson+Golf!3m4!1s0x88690bc87e9e3a8d:0xf367094e090104ed!8m2!3d38.1727664!4d-85.6184336",,0,False,Unknown,True,"{""Wednesday"": [""9AM-7PM""]}",False,OPERATIONAL,True,crawl_failed,custom club fitting Kentucky,False,Ben Fulkerson Golf,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",failed
Schneider's GOLF Mechanics,Simulator,Golf Simulator,False,(225) 256-1173,https://www.schneidersgolfmechanics.com/,5454 Bluebonnet Blvd STE J,Baton Rouge,Louisiana,LA,70809,30.3986218,-91.0853542,America/Chicago,4.8,Top Rated,0,5,True,True,"https://www.google.com/maps/place/Schneider%27s+Golf+Mechanics/@30.398621799999997,-91.0853542,14z/data=!4m8!1m2!2m1!1sSchneider%27s+Golf+Mechanics!3m4!1s0x8626bb97cd730f17:0xfb03defd8f74a1f6!8m2!3d30.398621799999997!4d-91.0853542",,0,False,Indoor,True,"{""Wednesday"": [""9AM-9PM""]}",False,OPERATIONAL,True,crawled,independent clubmaker Louisiana,False,Schneider's Golf Mechanics,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}}",failed
Jbc GOLF INC,Instruction,Golf Instruction,False,(617) 206-9757,https://golf-clinics-for-women.square.site/,1340 Soldiers Fld Rd #4,Brighton,Massachusetts,MA,02135,42.36291079999999,-71.14151369999999,America/New_York,0.0,Unrated,0,1,True,False,"https://www.google.com/maps/place/JBC+Golf+Inc/@42.362910799999995,-71.14151369999999,14z/data=!4m8!1m2!2m1!1sJBC+Golf+Inc!3m4!1s0x89e379d45e9b12ed:0xa3e450af158664ff!8m2!3d42.362910799999995!4d-71.14151369999999",,0,False,Unknown,True,"{""Wednesday"": [""9AM-5PM""]}",False,OPERATIONAL,True,crawled,independent clubmaker Massachusetts,False,JBC Golf Inc,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}}",failed
Tom Irwin INC,Retailer,Golf Retail,False,(800) 582-5959,https://tomirwin.com/,11 A St,Burlington,Massachusetts,MA,01803,42.4973798,-71.2252336,America/New_York,4.6,Highly Rated,0,11,True,True,"https://www.google.com/maps/place/Tom+Irwin+Inc/@42.4973798,-71.2252336,14z/data=!4m8!1m2!2m1!1sTom+Irwin+Inc!3m4!1s0x89e39fb2548a328b:0x85481ec508033269!8m2!3d42.4973798!4d-71.2252336",,0,False,Indoor,True,"{""Wednesday"": [""6AM-4PM""]}",False,OPERATIONAL,True,crawled,custom club fitting Massachusetts,False,Tom Irwin Inc,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",unknown
Kohr GOLF Center,Driving Range,Driving Range,False,(888) 622-5647,https://www.kohrgolf.com/,218 Speen St,Natick,Massachusetts,MA,01760,42.2923464,-71.377076,America/New_York,4.5,Highly Rated,0,160,True,True,"https://www.google.com/maps/place/KOHR+Golf+Center/@42.2923464,-71.377076,14z/data=!4m8!1m2!2m1!1sKOHR+Golf+Center!3m4!1s0x89e3862b527eef31:0xe7265016d5d22b87!8m2!3d42.2923464!4d-71.377076",,0,False,Outdoor,True,"{""Wednesday"": [""9AM-9PM""]}",False,OPERATIONAL,True,crawl_failed,independent clubmaker Massachusetts,False,KOHR Golf Center,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",failed
Pappas GOLF,Instruction,Golf Instruction,False,(978) 251-3933,https://www.bpappasgolf.com/,70 Princeton St,North Chelmsford,Massachusetts,MA,01863,42.635965,-71.378964,America/New_York,4.6,Highly Rated,0,8,True,True,"https://www.google.com/maps/place/Pappas+Golf/@42.635965,-71.378964,14z/data=!4m8!1m2!2m1!1sPappas+Golf!3m4!1s0x89e3a4aa5a6f37e1:0x3061be620b2046e9!8m2!3d42.635965!4d-71.378964",,0,False,Unknown,True,"{""Wednesday"": [""2-8PM""]}",False,OPERATIONAL,True,crawled,custom club fitting Massachusetts,False,Pappas Golf,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}}",failed
