name,address,city,state_code,zip,phone,website,sources,verdict,reason,approved
Edwin Watts - Villages,3503 WEDGEWOOD LN,THE VILLAGES,FL,32162-7187,,,ping,new,,yes
PGA Tour Superstore Sarasota,8563 COOPER CREEK BLVD,UNIVERSITY PARK,FL,34201,,,ping,new,,yes
Edwin Watts - Atlanta,3150 PIEDMONT RD NE,ATLANTA,GA,30305-3335,,,ping,new,,yes
Golf Galaxy - Atlanta,2860 CUMBERLAND MALL SE,ATLANTA,GA,30339-4442,,,ping,new,,yes
Edwin Watts - Martinez,592 Bobby Jones Expressway,Augusta,GA,30907,,,ping,new,,yes
PGA Tour Superstore Kennesaw,2911 GEORGE BUSBEE PKWY NW,KENNESAW,GA,30144-6909,,,ping,new,,yes
PGA Tour Superstore Sugarloaf,2255 NEWPOINT PKWY,LAWRENCEVILLE,GA,30043-5509,,,ping,new,,yes
PGA Tour Superstore Roswell,1005 HOLCOMB WOODS PKWY,ROSWELL,GA,30076-2738,,,ping,new,,yes
Edwin Watts - Savannah,7700 ABERCORN ST STE 4,SAVANNAH,GA,31406-2459,,,ping,new,,yes
Edwin Watts - St Simons Island,230 RETREAT VLG,ST SIMONS ISLAND,GA,31522-2403,,,ping,new,,yes
Golf Headquarters,6028 BELL ST,AMARILLO,TX,79109-6619,,,ping,new,,yes
Golf Galaxy - Dallas-Arlington,1001 W INTERSTATE 20,ARLINGTON,TX,76017-5855,,,ping,new,,yes
PGA Tour Superstore Arlington,4652 S COOPER ST,ARLINGTON,TX,76017-5826,,,ping,new,,yes
Golf Galaxy - Austin Aroboretum,10001 RESEARCH BLVD,AUSTIN,TX,78759-5689,,,ping,new,,yes
Golf Galaxy,1001 W Interstate 20,Arlington,TX,76017,+1817-557-5077,https://stores.golfgalaxy.com/tx/arlington/3221/?seo=localpack,openseo,new,,yes
Golf Galaxy,10001 Research Blvd,Austin,TX,78759,+1512-502-9231,https://stores.golfgalaxy.com/tx/austin/3201/?seo=localpack,openseo,new,,yes
PGA Tour Superstore Austin,10515 North Mopac Expressway,Austin,TX,78758,,,ping,new,,yes
Edwin Watts - Corpus Christi,4526 S PADRE ISLAND DR,CORPUS CHRISTI,TX,78411-4412,(361) 852-0358,,ping,new,,yes
Golf Galaxy - Northpark,9358 N CENTRAL EXPY,DALLAS,TX,75231-5010,,,ping,new,,yes
Golf Galaxy - Baybrook,18650 GULF FWY,FRIENDSWOOD,TX,77546-2717,,,ping,new,,yes
2nd Swing PGA Coaching Center,3255 PGA Parkway,Frisco,TX,75033,469-701-1775,,ping,new,,yes
Golf Galaxy - Grapevine,2100 W NORTHWEST HWY,GRAPEVINE,TX,76051-7808,,,ping,new,,yes
Edwin Watts - Houston,5395 WESTHEIMER RD,HOUSTON,TX,77056-5402,(713) 627-2411,,ping,new,,yes
Golf Galaxy - Galleria,5078 RICHMOND AVE,HOUSTON,TX,77056-7402,,,ping,new,,yes
PGA Tour Superstore Houston,5721 WESTHEIMER ROAD,HOUSTON,TX,77057,,,ping,new,,yes
Golf Galaxy,5078 Richmond Ave,Houston,TX,77056,+1832-203-1518,https://stores.golfgalaxy.com/tx/houston/3045/?seo=localpack,openseo,new,,yes
Golf Galaxy - Katy,24600 KATY FWY,KATY,TX,77494-7805,,,ping,new,,yes
PGA Tour Superstore Katy,24743 KATY FWY,KATY,TX,77494-3261,,,ping,new,,yes
Golf Headquarters Lubbock,10609 SLIDE RD,LUBBOCK,TX,79424-6970,,,ping,new,,yes
Golf Headquarters,2224 N 10TH ST,MCALLEN,TX,78501-4002,,,ping,new,,yes
Golf Headquarters,4610 N GARFIELD ST,MIDLAND,TX,79705-2651,,,ping,new,,yes
PGA Tour Superstore Plano (accent),600 ACCENT DR,PLANO,TX,75075-8962,,,ping,new,,yes
PGA Tour Superstore Plano (preston),8700 PRESTON RD,PLANO,TX,75024-3324,,,ping,new,,yes
Edwin Watts - San Antonio,1050 NE LOOP 410,SAN ANTONIO,TX,78209-1201,(210) 822-4060,,ping,new,,yes
Golf Galaxy - San Antonio,1211 N LOOP 1604 W,SAN ANTONIO,TX,78258-4596,,,ping,new,,yes
PGA Tour Superstore Woodlands,19075 INTERSTATE 45 S,SHENANDOAH,TX,77385-8705,,,ping,new,,yes
PGA Tour Superstore Southlake,2241 E SOUTHLAKE BLVD,SOUTH LAKE,TX,76092-6852,,,ping,new,,yes
Golf Galaxy - The Woodlands,25415 IH 45 N,SPRING,TX,77380-3648,,,ping,new,,yes
Golf Galaxy,1211 N Loop 1604 W,San Antonio,TX,78258,+1210-764-1015,https://stores.golfgalaxy.com/tx/san-antonio/3222/?seo=localpack,openseo,new,,yes
PGA Tour Superstore San Antonio,18450 Blanco Road,San Antonio,TX,78258-4052,,,ping,new,,yes
Golf Galaxy,25415 I-45 Ste B,Spring,TX,77380,+1281-292-2288,https://stores.golfgalaxy.com/tx/spring/3229/?seo=localpack,openseo,new,,yes
2nd Swing Dallas,4711 STATE HIGHWAY 121 STE 200,THE COLONY,TX,75056-2914,,,ping,new,,yes
Edwin Watts - Tyler,410 W SOUTHWEST LOOP 323,TYLER,TX,75701-9404,(903) 561-8851,,ping,new,,yes
Vans Pro Shop-Avondale,12247 W INDIAN SCHOOL RD,AVONDALE,AZ,85392-5646,(623)935-9351,,ping,new,,yes
Hornacek's Golf Chandler LLC,4975 S ALMA SCHOOL RD,CHANDLER,AZ,85248-5500,,,ping,new,,yes
Vans - Gilbert,2716 S MARKET ST,GILBERT,AZ,85295-1384,,,ping,new,,yes
Superstition Mountain Golf,8000 E CLUB VILLAGE DR,GOLD CANYON,AZ,85118-1801,,,ping,new,,yes
Golf Guru,5540 E BROADWAY RD,MESA,AZ,85206,4806603830,,ping,new,,yes
Vans - East Mesa (apache),801 S POWER RD,MESA,AZ,85206-5246,,,ping,new,,yes
Maria Przymierski GA,2401 South Lansing,Mesa,AZ,85209-1155,5204009457,,ping,new,,yes
The Rim Club,300 S CLUB HOUSE,PAYSON,AZ,85541-5861,,,ping,new,,yes
Vans - Phoenix (camelback),3217 E CAMELBACK RD,PHOENIX,AZ,85018-2307,6029570001,,ping,new,,yes
Hornacek's House Of Golf,23587 N SCOTTSDALE RD STE C4,SCOTTSDALE,AZ,85255-3470,,,ping,new,,yes
Hornacek's Golf - Scottsdale,23587 N SCOTTSDALE RD STE C4,SCOTTSDALE,AZ,85255,,,ping,new,,yes
Vans - North Scottsdale,8720 E FRANK LLOYD WRIGHT BLVD,SCOTTSDALE,AZ,85260-1926,,,ping,new,,yes
Vans - Sun City,10001 W BELL RD,SUN CITY,AZ,85351-1297,,,ping,new,,yes
Reid West Golf Academies,12805 W BEARDSLEY RD,SUN CITY WEST,AZ,85375-3300,6236874333,,ping,new,,yes
Putting World,16259 North Scottsdale Road,Scottsdale,AZ,85254-1587,,,ping,new,,yes
Vans - Tucson (crossroads),4861 E. GRANT RD. #161,TUCSON,AZ,85712-2768,,,ping,new,,yes
Vans - Tucson (oracle),4230 N ORACLE RD,TUCSON,AZ,85705-1767,,,ping,new,,yes
Randolph Golf Complex,600 South Alvernon Way,Tucson,AZ,85711,5207914161,,ping,new,,yes
Ancil Hoffman Golf Shop,6700 TARSHES DR,CARMICHAEL,CA,95608-5325,916-482-3813 ,,ping,new,,yes
KBS Golf Experience,2622 Gateway Rd #115,Carlsbad,CA,92009,+1760-383-8687,https://kbsgolfx.com/,openseo,new,,yes
Desert Princess Golf Shop,28555 Landau Boulevard,Cathedral City,CA,92234-3508,760.322.2280,,ping,new,,yes
East Bay Golf Center,4050 Port Chicago Highway,Concord,CA,94520-1121,9256866267,,ping,new,,yes
Meadow Club,1001 BOLINAS RD,FAIRFAX,CA,94930-2221,,,ping,new,,yes
Orange Golf & Sports,9562 Garden Grove Boulevard,Garden Grove,CA,92844,,,ping,new,,yes
K Pro Golf,14806 BEACH BLVD,LA MIRADA,CA,90638,657-243-0233,,ping,new,,yes
No Bogeys Golf LLC,27601 FORBES RD,LAGUNA NIGUEL,CA,92677-1240,,,ping,new,,yes
On Target Performance,40405 BRICKYARD DR,MADERA,CA,93636-9530,559-979-7397,,ping,new,,yes
On Target Performance LLC,40405 BRICKYARD DR,MADERA,CA,93636-9530,5597792854,,ping,new,,yes
Sunday Swing LLC,1480 MORAGA RD STE D,MORAGA,CA,94556-2005,925-257-2264,,ping,new,,yes
Newport Beach Golf Shop,3100 IRVINE AVE,NEWPORT BEACH,CA,92660-3104,,,ping,new,,yes
Montclair Golf Ent,2477 Monterey Blvd,Oakland,CA,94611-3345,15104820422,,ping,new,,yes
